"1","musique"
"2","voyage"
"3","sport"
"4","balades"
"5","cuisine"
"6","nature"
"7","shopping"
"8","bricolage"
"9","lecture"
"10","danse"
"11","jardinage"
"12","expositions/musées"
"13","écriture"
"14","animaux"
"15","télévision"
"16","automobiles"
"17","informatique/internet"
"18","photo"
"19","jeux vidéos"
"20","chant/instrument musical"
"21","décoration"
"22","l'art"
"23","cinéma"
"24","jeux de cartes"
"25","œnologie"
"26","peinture/dessin"
"27","jeux de sociétés"
"28","théâtre"
"29","restaurant"
"30","les sorties"
"31","voir des amis"
"32","activités caritative"
"33","pêche/chasse"
"34","loisirs créatifs"
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
